tweet_id,text_info_conf,tweet_text
929989361453621249,1.0,RT @PressTV: UPDATE: Death toll from Iran’s quake rises to 200 #earthquake https://t.co/DklVc2VwKW
929989443913691136,1.0,"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk"
929989443913691136,1.0,"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk"
929989443913691136,1.0,"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk"
929989443913691136,1.0,"RT @LaylaAlhussein: A magnitude 7.2 earthquake struck northern Iraq in Erbil, Iraq, on November 12, 2017. #Iraq https://t.co/KSPmuNDPsk"
929989459453595648,0.6642,Video: 7.2-magnitude earthquake jolts #Iran-Iraq border area; structural damage reported https://t.co/Jeh1EXMiyq https://t.co/EmvW58Y6u4
929989514562625538,1.0,"RT @RT_com: Iran-Iraq border earthquake latest: - At least 211 killed - Over 2,500 injured https://t.co/w0n8LBQsE6 https://t.co/n4SlLDYuzs"
929989549895438336,1.0,WSJ: Earthquake near Iran-Iraq border kills more than 200 https://t.co/l6rVg3feU4 https://t.co/ZZkY7wqYSf
929989658351505408,1.0,RT @HuffPost: Hundreds dead after powerful #earthquake hits border between Iran and Iraq https://t.co/p8TJjvjOhr https://t.co/l4PJqZxiaz
929989743810576384,0.6686,Turkey rushes to help Iraq earthquake victims https://t.co/byyQ0NOPxt https://t.co/pT0SfLRTxE
929989752882806785,1.0,"Strong earthquake hits Iraq and Iran, killing at least 218 https://t.co/ewo0UrauTY #WorldNews #News https://t.co/YGOtOQzOXt"
929989758910128128,1.0,Officials raise death count to at least 200 after earthquake rocks northern Iraq https://t.co/sqkeX5nKz9 https://t.co/l9TVeHaiCi
929989819211681793,1.0,"#News:- At least 210 people were killed in Iran and Iraq, a powerful magnitude 7.3 earthquake hit the region https://t.co/KyOdFMZChN"
929989844633313280,1.0,I think Event: Earthquake has occurred in Iran Mon Nov 13 02:26:33 2017 CDT https://t.co/SdoJ6w0tH7
929991509499187200,1.0,"The Wall Street Journal: Iran-Iraq earthquake kills at least 207, with de... https://t.co/h0GnYkR6H0 https://t.co/HWQn1h0BBU"
929992374293495808,1.0,Over 200 killed in Iran-Iraqi earthquake https://t.co/r53O8nKXOq https://t.co/RHz9pYrG9f
929992506158149635,1.0,RT @AhmadiyyaTimes: Baghdad: Powerful earthquake on Iran-Iraq border kills 207 people https://t.co/86eNttQ1p4 Pls RT https://t.co/YYiWsqD0ES
929992542673915904,1.0,At least 214 #People #Dead in Iran-Iraq #Earthquake - https://t.co/XBKZxdI8Rs - #IranIraq #News https://t.co/hRjTw87yoN
929992723146399745,0.6061,LIVE: Deadly earthquake hits Iraq &amp; Iran – aftermath footage from Iraqi Sulaymaniyah https://t.co/TnJW35si1c https://t.co/xrrmgXP45A
929992868156108800,1.0,Our collective hearts are heavy with sympathy. #Iran #Earthquake #Kermanshah #Sar_pol_Zahab https://t.co/gfLsvn5JGL
929993504662720512,1.0,"7.3 MAGNITUDE EARTHQUAKE HITS IRAN-IRAQ; MANY KILLED, THOUSANDS INJURED. https://t.co/BnsJS2pmus https://t.co/7UBHXQBoRg"
929994366944505856,1.0,"#Earthquake magnitude 4,4 - 94,1 km from #Sulaymaniyah - #Iraq https://t.co/dEu1qrEtV8 https://t.co/UWVSTEE9sA"
929994458153803776,1.0,the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ
929994458153803776,1.0,the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ
929994458153803776,1.0,the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ
929994458153803776,1.0,the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ
929994774819479552,1.0,"Iran-Iraq Border Earthquake Death Toll Tops 200, Officials Say https://t.co/rMxeWOnb4H https://t.co/0TTlpqwMsr"
929996080498003968,1.0,RT @imranbird: #Earthquake in #kuwait. Everyone is standing outside. https://t.co/WolwXLvzh3
929996293245718528,1.0,#Heartbreaking Earthquake between border Iran &amp; Iraq RIP ὤF #earthquake #زلزلە Photo: Rudaw https://t.co/TJT8iS1QY1
929996293245718528,1.0,#Heartbreaking Earthquake between border Iran &amp; Iraq RIP ὤF #earthquake #زلزلە Photo: Rudaw https://t.co/TJT8iS1QY1
929996293245718528,1.0,#Heartbreaking Earthquake between border Iran &amp; Iraq RIP ὤF #earthquake #زلزلە Photo: Rudaw https://t.co/TJT8iS1QY1
929996311478272000,1.0,"Atleast 207 Dead, Thousands Injured As 7.3-Magnitude Earthquake Hits Northern Border Region… https://t.co/8RVoot4B4Y https://t.co/glpJfPj0n7"
929997322351673344,1.0,"7.3 earthquake kills at least 160 in Iran, government says https://t.co/pYZ91c73Hm https://t.co/mZ4TjNG36v"
929997578799853568,0.6802,RT @akifinam: Press Release by @MFATurkey regarding the earthquake in #Iraq. #Halabja #Sulaimani https://t.co/X4yd3hbPi0
929997660345397248,0.6778,RT @Lee_Saks: #Iraq #Iran 7.2 earthquake major oil fields map. no damages reported yet. #OOTT https://t.co/aOnfPaawMW
929999388713332737,0.6571,RT @RudawEnglish: Material damages captured by Rudaw English's managing editor @OsamaGolpy in #Halabja #earthquake https://t.co/6MaFWai7Vb
930000308033507328,1.0,#Iran's Army is deployed in the region to help the relief forces to find trapped earthquake victims #iranEarthquake https://t.co/JEj9n8bhZs
930000573411110913,1.0,"Earthquake hits Iraq near border with Iran, several killed in both countries https://t.co/5iZy0jClah https://t.co/hcKUJntKrp"
930000656525680640,0.6742,Remarkable that there are accurate figures for loss of life in the Iran/Iraq earthquake. https://t.co/YZSsb3mtRu
